ddim,lr,bsz,is_lora,from_scratch,is_inpainting,base_model,lpips,ssim,psnr
0.5,0.0001,20,True,False,False,pix2pix,0.6090513467788696,0.12076440453529358,12.151820182800291
0.5,1e-05,20,True,False,False,pix2pix,0.7591138482093811,0.10094165802001952,10.621170043945312
0.5,1e-05,20,False,True,False,sd,0.8173788189888,0.022001946344971657,7.481595039367676
0.75,0.0001,10,False,False,True,sd-inpainting,0.8587308526039124,0.051407020539045334,7.114991188049316
0.75,0.0001,20,True,False,True,sd-inpainting,0.960359275341034,0.12644092738628387,9.24695873260498
0.5,0.005,40,True,False,False,pix2pix,N/A,N/A,N/A
0.5,0.0001,40,True,False,False,pix2pix,N/A,N/A,N/A
